game_id,player_id,player,agent,acs,kill,death,assist
119309,2038,weber,sova,92,7,18,5
119309,1281,MOLSI,breach,171,16,14,9
119310,3582,keloqz,neon,134,15,22,3
119310,3672,BONECOLD,fade,175,16,22,8
119312,302,ZE1SH,viper,135,15,18,5
119312,3070,nukkye,killjoy,93,6,17,4
119313,14669,Nivera,killjoy,145,9,16,1
119313,10,rhyme,omen,193,13,12,6
119315,339,koldamenta,brimstone,108,5,16,9
119315,457,nAts,cypher,148,11,12,8
119316,339,koldamenta,astra,144,12,20,5
119316,9780,Jamppi,neon,150,11,21,4
119317,339,koldamenta,omen,89,6,19,7
119317,1427,Redgar,reyna,184,13,15,6
119318,556,SouhcNi,harbor,97,5,15,7
119318,1139,qRaxs,kayo,157,9,14,10
119319,556,SouhcNi,sova,134,8,15,6
119319,10125,qw1,jett,197,15,15,3
130941,10,rhyme,harbor,121,6,16,11
130941,8044,MrFaliN,omen,179,11,12,9
130942,4181,Cloud,sova,175,13,21,9
130942,3604,MOJJ,killjoy,81,6,17,4
130944,1427,Redgar,omen,110,7,17,7
130944,1281,MOLSI,killjoy,160,12,13,2
130945,1427,Redgar,omen,130,9,12,12
130945,1281,MOLSI,raze,186,15,18,4
130946,457,nAts,cypher,195,19,14,7
130946,4321,ceNder,killjoy,129,10,19,3
130947,438,Boaster,brimstone,133,9,15,13
130947,10125,qw1,raze,166,13,18,2
130948,9810,Alfajer,cypher,162,10,8,3
130948,3604,MOJJ,cypher,86,3,15,2
130949,438,Boaster,astra,114,6,6,6
130949,10125,qw1,neon,81,3,14,1
130950,109,ANGE1,cypher,119,9,19,8
130950,312,Sayf,raze,151,12,20,5
130951,109,ANGE1,kayo,108,7,18,12
130951,1427,Redgar,omen,161,13,17,10
130962,6510,AtaKaptan,astra,148,11,13,4
130962,3672,BONECOLD,sage,104,8,18,2
130963,6510,AtaKaptan,breach,72,4,15,9
130963,1281,MOLSI,breach,131,9,15,16
130964,10125,qw1,neon,117,7,9,4
130964,3672,BONECOLD,fade,128,8,16,3
130959,573,cNed,jett,200,16,15,3
130959,4181,Cloud,skye,150,12,20,2
130960,384,Shao,fade,148,10,16,9
130960,10,rhyme,omen,147,12,18,9
130953,458,Chronicle,viper,166,15,18,8
130953,457,nAts,viper,147,10,18,13
130954,9810,Alfajer,cypher,129,8,13,7
130954,101,soulcas,fade,76,4,16,6
130965,573,cNed,yoru,163,11,18,2
130965,6510,AtaKaptan,viper,166,12,15,5
130966,109,ANGE1,cypher,186,13,19,7
130966,1139,qRaxs,kayo,206,15,14,7
130968,312,Sayf,jett,200,13,14,3
130968,8044,MrFaliN,sova,130,8,14,4
130969,9780,Jamppi,killjoy,169,16,25,7
130969,1139,qRaxs,kayo,159,17,27,10
130970,9780,Jamppi,skye,187,13,10,7
130970,1139,qRaxs,kayo,114,6,16,10
130956,438,Boaster,astra,117,9,18,5
130956,101,soulcas,fade,122,10,15,8
130957,458,Chronicle,kayo,119,8,18,21
130957,457,nAts,cypher,182,14,21,10
130958,458,Chronicle,breach,128,8,15,7
130958,457,nAts,killjoy,187,15,13,2
131673,458,Chronicle,breach,142,12,18,12
131673,312,Sayf,raze,161,13,18,5
118923,882,dephh,breach,128,11,15,11
118923,4147,Cryocells,jett,160,13,20,3
118924,882,dephh,astra,131,11,16,11
118924,3880,bang,astra,130,13,19,6
118925,882,dephh,kayo,221,21,19,13
118925,733,stellar,viper,138,12,19,4
118926,1311,Melser,astra,146,11,15,9
118926,939,mwzera,raze,232,18,20,6
118927,2610,Klaus,sova,47,3,17,5
118927,8873,dgzin,jett,246,14,14,5
118929,6193,cauanzin,skye,215,14,11,7
118929,651,frz,kayo,48,2,16,5
118930,727,saadhak,gekko,139,10,20,17
118930,651,frz,killjoy,164,14,15,3
118931,8447,Less,killjoy,109,9,16,1
118931,783,murizzz,breach,133,11,17,11
118932,11225,Ethan,skye,173,14,18,8
118932,7873,leaf,killjoy,236,17,18,5
118933,864,BcJ,brimstone,166,12,19,13
118933,8742,jakee,brimstone,179,11,20,11
118935,3828,Tacolilla,jett,109,9,18,1
118935,4,crashies,killjoy,157,13,17,2
118936,24007,Shyy,killjoy,171,9,12,6
118936,98,ardiis,raze,145,6,16,7
118938,7871,Xeppaa,raze,208,13,15,3
118938,727,saadhak,gekko,157,10,18,9
118939,729,Zellsis,killjoy,154,11,18,3
118939,2408,tuyz,omen,173,13,11,12
118940,8742,jakee,astra,108,6,17,2
118940,6193,cauanzin,skye,227,18,14,3
118941,7603,Mazino,harbor,193,15,20,13
118941,939,mwzera,skye,106,8,18,7
118942,3828,Tacolilla,jett,140,9,14,2
118942,1575,Quick,sage,110,7,12,5
118943,3828,Tacolilla,jett,167,12,20,6
118943,8872,Mazin,kayo,122,8,20,16
118944,817,FiNESSE,skye,145,12,12,13
118944,9,TenZ,jett,111,8,16,5
118945,261,Victor,kayo,183,7,11,15
118945,882,dephh,harbor,85,4,15,2
118947,783,murizzz,kayo,177,11,18,15
118947,2462,keznit,jett,170,13,18,4
118948,5351,RgLMeister,omen,117,10,16,12
118948,2610,Klaus,gekko,148,11,19,3
118949,651,frz,killjoy,186,16,17,4
118949,2610,Klaus,skye,118,8,20,16
118950,619,C0M,sova,96,7,17,5
118950,601,Asuna,gekko,165,14,14,8
118951,3993,jawgemo,harbor,100,5,15,6
118951,4147,Cryocells,omen,116,5,14,11
118953,7873,leaf,neon,235,17,13,3
118953,4147,Cryocells,jett,154,10,15,3
118954,8742,jakee,omen,152,14,21,12
118954,3880,bang,omen,200,17,21,11
118956,817,FiNESSE,killjoy,186,13,20,3
118956,651,frz,killjoy,136,11,18,4
118957,817,FiNESSE,skye,159,13,26,16
118957,8673,heat,jett,173,19,23,1
118958,817,FiNESSE,breach,142,12,23,11
118958,13093,jzz,skye,134,15,21,5
118959,725,nzr,raze,185,15,16,5
118959,659,Sacy,viper,141,11,18,6
118960,24007,Shyy,killjoy,156,12,18,3
118960,9,TenZ,jett,130,9,18,7
118961,725,nzr,skye,134,6,10,12
118961,659,Sacy,viper,119,7,15,3
118962,26171,Demon1,killjoy,168,13,18,5
118962,1311,Melser,viper,156,12,17,9
118963,3993,jawgemo,omen,133,10,17,9
118963,2610,Klaus,sova,150,13,19,7
118964,604,Boostio,killjoy,199,14,13,5
118964,2462,keznit,raze,145,8,18,6
118965,727,saadhak,raze,156,11,18,4
118965,939,mwzera,raze,193,12,22,9
118966,6193,cauanzin,sova,135,10,12,5
118966,939,mwzera,sova,116,7,14,3
118968,2408,tuyz,harbor,140,8,17,14
118968,263,Marved,viper,200,14,11,5
118969,727,saadhak,viper,121,9,16,10
118969,882,dephh,breach,65,5,20,8
118970,8447,Less,killjoy,130,8,11,5
118970,882,dephh,kayo,82,6,17,7
118971,8549,kiNgg,viper,249,14,11,8
118971,13093,jzz,skye,102,4,16,6
118972,24007,Shyy,killjoy,199,12,10,2
118972,783,murizzz,viper,99,4,15,4
118974,2610,Klaus,sova,169,9,10,9
118974,1533,Derrek,sova,83,5,16,3
118975,2764,DaveeyS,raze,144,10,18,8
118975,733,stellar,cypher,151,11,17,8
118976,2764,DaveeyS,breach,80,4,15,8
